namesGroup1,namesGroup2,namesGroup3,frequency
"[""Συνεδρίαση Εκλεκτορικών Σωμάτων για έκδοση οριστικών αποτελεσμάτων""]","[""Παράδοση των πρακτικών από τα εκλεκτορικά σώματα στο αρμόδιο τμήμα της ΔΔΥ για έλεγχο νομιμότητας και έκδοση αποφάσεων πρόσληψης""]","[""Έλεγχος νομιμότητας πρακτικών και πινάκων""]",7
"[""Παραλαβή αίτησης από αρμόδιο φορέα""]","[""Διαβίβαση αίτησης και δικαιολογητικών στην αρμόδια Διεύθυνση Εκπαίδευσης""]","[""Συμπλήρωση του φακέλου της αίτησης με τα δικαιολογητικά που τηρούνται στο αρχείο της Διεύθυνσης Εκπαίδευσης""]",7
"[""Εκκίνηση διαδικασίας""]","[""Δημοσίευση Προκήρυξης για συμμετοχή σε εξετάσεις""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",6
"[""Δημοσίευση Προκήρυξης για συμμετοχή σε εξετάσεις""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]",6
"[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]","[""Έλεγχος Δικαιολογητικών""]",6
"[""Εξέταση αιτήματος από αστυνομικό υπάλληλο.""]","[""Έκδοση απόφασης""]","[""Διαβίβαση της απόφασης στο αρμόδιο τμήμα για επίδοση.""]",6
"[""Έλεγχος - Υπογραφή""]","[""Έλεγχος - Υπογραφή - Διαβίβαση στο τελικό υπογράφοντα""]","[""Έγκριση και υπογραφή από το τελικό υπογράφοντα""]",6
"[""Αποδοχή αιτήματος""]","[""Απόρριψη αιτήματος""]","[""Ενημέρωση του ενδιαφερόμενου""]",6
"[""Παραλαβή και αξιολόγηση της αίτησης""]","[""Δημοσίευση στο Μητρώο των Αιτήσεων Αδειών Εμπορίας""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]",6
"[""Απόφαση από το Κεντρικό Υπηρεσιακό Συμβούλιο Πρωτοβάθμιας Εκπαίδευσης""]","[""Παραλαβή πρακτικού ή βεβαίωσης πράξης του Κεντρικού Υπηρεσιακού Συμβουλίου Δευτεροβάθμιας Εκπαίδευσης""]","[""Κατάρτιση σχεδίου απόφασης μετάθεσης εκπαιδευτικών δευτεροβάθμιας εκπαίδευσης και υποβολή του προς υπογραφή ιεραρχικά""]",6
"[""Αποστολή από τις Διευθύνσεις Δευτεροβάθμιας Εκπαίδευσης όλων των δικαιολογητικών που αφορούν σε αμφισβητούμενες περιπτώσεις μοριοδότησης""]","[""Αποστολή από τις Διευθύνσεις Δευτεροβάθμιας Εκπαίδευσης πινάκων με το σύνολο των εκπαιδευτικών που αιτούνται ένταξη σε ειδική κατηγορία μετάθεσης""]","[""Εξαγωγή αναφοράς με τις αιτήσεις και τα δικαιολογητικά των εκπαιδευτικών και παραλαβή όσων στάλθηκαν ταχυδρομικά""]",6
"[""Γνωμοδότηση Κεντρικού Υπηρεσιακού Συμβουλίου Δευτεροβάθμιας Εκπαίδευσης""]","[""Παραλαβή πρακτικού ή βεβαίωσης πράξης του Κεντρικού Υπηρεσιακού Συμβουλίου Δευτεροβάθμιας Εκπαίδευσης""]","[""Κατάρτιση σχεδίου απόφασης μετάθεσης εκπαιδευτικών δευτεροβάθμιας εκπαίδευσης και υποβολή του προς υπογραφή ιεραρχικά""]",6
"[""Έκδοση εγκυκλίου - πρόσκλησης""]","[""Λήψη αιτήσεων των εκπαιδευτικών""]","[""Έλεγχος των αιτήσεων""]",6
"[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος ορθότητας/πληρότητας αίτησης και δικαιολογητικών""]","[""Καταχώρηση στο Μητρώο Αδειών Κυκλοφορίας Οχημάτων""]",6
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή Αίτησης και Δικαιολογητικών""]","[""Ηλεκτρονική Παραλαβή Αίτησης και Δικαιολογητικών""]",6
"[""Πρωτοκόλληση της αίτησης""]","[""Διαβίβαση αίτησης""]","[""Χρέωση αίτησης στον Προϊστάμενο του Τμήματος Επαγγελμάτων""]",6
"[""Διαβίβαση αίτησης""]","[""Χρέωση αίτησης στον Προϊστάμενο του Τμήματος Επαγγελμάτων""]","[""Χρέωση αίτησης σε στέλεχος του Τμήματος Επαγγελμάτων""]",6
"[""Χρέωση αίτησης στον Προϊστάμενο του Τμήματος Επαγγελμάτων""]","[""Χρέωση αίτησης σε στέλεχος του Τμήματος Επαγγελμάτων""]","[""Έλεγχος πληρότητας και ορθότητας""]",6
"[""Χρέωση αίτησης σε στέλεχος του Τμήματος Επαγγελμάτων""]","[""Έλεγχος πληρότητας και ορθότητας""]","[""Ενέργειες σε περίπτωση ελλείψεων""]",6
"[""Έλεγχος πληρότητας και ορθότητας""]","[""Ενέργειες σε περίπτωση ελλείψεων""]","[""Καταχώρηση στοιχείων στο μητρώο""]",6
"[""Ενέργειες σε περίπτωση ελλείψεων""]","[""Καταχώρηση στοιχείων στο μητρώο""]","[""Πρόσκληση συμμετοχής σε εξετάσεις""]",6
"[""Καταχώρηση στοιχείων στο μητρώο""]","[""Πρόσκληση συμμετοχής σε εξετάσεις""]","[""Ενημέρωση του ενδιαφερόμενου""]",6
"[""Πρόσκληση συμμετοχής σε εξετάσεις""]","[""Ενημέρωση του ενδιαφερόμενου""]","[""Αποστολή δικαιολογητικών""]",6
"[""Ενημέρωση του ενδιαφερόμενου""]","[""Αποστολή δικαιολογητικών""]","[""Θεωρητική εξέταση""]",6
"[""Αποστολή δικαιολογητικών""]","[""Θεωρητική εξέταση""]","[""Σύνταξη πρακτικού θεωρητικών εξετάσεων""]",6
"[""Θεωρητική εξέταση""]","[""Σύνταξη πρακτικού θεωρητικών εξετάσεων""]","[""Διενέργεια εξετάσεων για το πρακτικό μέρος""]",6
"[""1ο μέρος: Παραλαβή αίτησης""]","[""1ο μέρος: Παραλαβή αίτησης""]","[""1ο μέρος: Παραλαβή αίτησης""]",6
"[""Κατάθεση αίτησης και λοιπών δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Πρωτοκόλληση της αίτησης""]",6
"[""Έλεγχος πληρότητας φακέλου""]","[""Δέσμευση παράβολου""]","[""Σύνταξη σχεδίου Δελτίου Κοινοποίησης""]",6
"[""Κοινοποίηση πρόσκλησης στον ενδιαφερόμενο για προσκόμιση συμπληρωματικών δικαιολογητικών""]","[""Υποβολή συμπληρωματικών δικαιολογητικών και έλεγχος αυτών""]","[""Αρχειοθέτηση της αίτησης""]",6
"[""Επιτόπιος έλεγχος της επιτροπής""]","[""Ενημέρωση του εργαστηρίου για τα ευρήματα της επιτροπής και τις απαιτούμενες διορθωτικές ενέργειες""]","[""Υποβολή των διορθωτικών ενεργειών και έλεγχος αυτών""]",6
"[""Ενημέρωση του εργαστηρίου για τα ευρήματα της επιτροπής και τις απαιτούμενες διορθωτικές ενέργειες""]","[""Υποβολή των διορθωτικών ενεργειών και έλεγχος αυτών""]","[""Ενημέρωση του εργαστηρίου για μερική άρση του κωλύματος""]",6
"[""Υποβολή των διορθωτικών ενεργειών και έλεγχος αυτών""]","[""Ενημέρωση του εργαστηρίου για μερική άρση του κωλύματος""]","[""2η Υποβολή συμπληρωματικών διορθωτικών ενεργειών και έλεγχος αυτών""]",6
"[""Ενημέρωση του εργαστηρίου για μερική άρση του κωλύματος""]","[""2η Υποβολή συμπληρωματικών διορθωτικών ενεργειών και έλεγχος αυτών""]","[""Μη άρση του κωλύματος - Αρχειοθέτηση της αίτησης""]",6
"[""Εκκίνηση διαδικασίας""]","[""Αποστολή δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",6
"[""Παραλαβή και έλεγχος της αίτησης και των λοιπών δικαιολογητικών.""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Ορισμός Τριμελούς Επιτροπής και έλεγχος της επιχείρησης""]",6
"[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Ορισμός Τριμελούς Επιτροπής και έλεγχος της επιχείρησης""]","[""Έκδοση απόφασης της Τριμελούς Επιτροπής.""]",6
"[""Ορισμός Τριμελούς Επιτροπής και έλεγχος της επιχείρησης""]","[""Έκδοση απόφασης της Τριμελούς Επιτροπής.""]","[""Διαβίβαση εγγράφων στην αρμόδια Διεύθυνση Αστυνομίας ή Ασφαλείας.""]",6
"[""Ολοκλήρωση Επιθεώρησης""]","[""Σύνταξη Εκθέσεων Επιθεωρητή ΤΚΕΠ""]","[""Σύνταξη Εκθέσεων Επιθεωρητή ΤΚΕΠ""]",6
"[""Εκκίνηση διαδικασίας""]","[""Υποβολή Αίτησης και Δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",6
"[""Εκτύπωση πιστοποιητικού οικογενειακής κατάστασης""]","[""Έλεγχος από τον Προϊστάμενο και φυσική υπογραφή""]","[""Έκδοση του πιστοποιητικού""]",6
"[""Εκκίνηση διαδικασίας""]","[""Υποβολή Αίτησης με φυσικό τρόπο""]","[""Ψηφιακή παραλαβή της Αίτησης μέσω του gov.gr""]",6
"[""Έκδοση Βεβαίωσης με παρατήρηση""]","[""Έκδοση Βεβαίωσης μετά από Επιθεώρηση""]","[""Παραλαβή της Βεβαίωσης από τον αιτούντα""]",6
"[""Κατάθεση αίτησης και λοιπών δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Πρωτοκόλληση Αίτησης""]",6
"[""Ηλεκτρονική Υποβολή Δήλωσης και Δικαιολογητικών""]","[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Διαβίβαση φακέλου""]",6
"[""Έλεγχος νομιμότητας - Σύνταξη του σχεδίου Υπουργικής Απόφασης""]","[""Σύνταξη σχεδίου Υπουργικής Απόφασης και υπογραφή του""]","[""Επιστροφή σχεδίου - έκδοση Υπουργικής Απόφασης""]",6
"[""Σύνταξη σχεδίου Υπουργικής Απόφασης και υπογραφή του""]","[""Επιστροφή σχεδίου - έκδοση Υπουργικής Απόφασης""]","[""Ανάρτηση της Υπουργικής Απόφασης στο Πρόγραμμα \""Διαύγεια\""""]",6
"[""Εκκίνηση διαδικασίας""]","[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]",6
"[""Ενημέρωση του αιτούντος φορέα""]","[""Επιτυχής έλεγχος""]","[""Ενημέρωση του αιτούντος φορέα""]",6
"[""Παραλαβή αίτησης έκτακτης μετάθεσης""]","[""Λήψη απόφασης""]","[""Έκδοση διαταγής τοποθέτησης""]",6
"[""Λήξη Διαδικασίας""]","[""Παραλαβή τυχόν ενδικοφανών προσφυγών""]","[""Παραλαβή τυχόν αίτησης θεραπείας""]",6
